employee_id,first_name,last_name,dob,gender,employment_date,dismissal_date,education,salary
5c28a072-2748-42a2-be60-feb195ee795e,Christine,Thompson,1989-02-13,0,2003-07-12,2019-06-16,primary,3800
163102ae-1e3f-4562-9d30-cf10e52372a0,Richard,Webb,1993-09-13,1,2008-12-22,2019-04-02,secondary,3400
cf60f552-dcb8-42cf-ab4c-82699067869a,William,Wilson,1992-08-11,1,2005-04-09,2018-11-11,university,4600
8e27bcfc-9f78-4f76-8c01-07638c6c0334,Brandon,Peters,1980-12-21,1,2016-03-12,2017-12-05,secondary,4600
56ffd715-ff64-4a44-9652-7ed35dfed24a,Clifford,Miles,1990-05-11,1,1990-12-02,1997-12-22,primary,3200
f301d829-dba1-43d6-a562-5f7829f55ae0,Anthony,Bennett,1975-01-06,1,1987-07-23,2000-09-02,university,4700
ac37ba71-93b0-43e6-9310-2955e3468908,Shelley,Mullins,1996-04-08,0,2010-11-19,2016-12-07,primary,2800
f4f93dd7-1cd8-4f98-946a-b89e0bfa3e20,Kristy,Davis,1984-10-30,0,2007-07-21,2015-01-09,primary,3900
57846248-97c8-452d-9be1-08549665180b,Beth,Brooks,1973-09-01,0,1980-11-01,1988-09-17,primary,4100
3d3f73b1-7b4b-42f0-a091-6d83af737848,Sarah,Smith,1958-05-28,0,2008-08-07,2012-02-01,university,4200
